Model,DataSet,MAE,MSE,RMSE,R2 Square,Cross Validation
manhattan,moons,0.488,0.824,0.9077444574328174,-2.296,
chebyshev,moons,0.448,0.688,0.8294576541331088,-1.7519999999999998,
canberra,moons,0.314,0.394,0.6276941930590086,-0.5760000000000001,
chi-square,moons,0.356,0.48,0.6928203230275509,-0.9199999999999999,
euclidean,Anisotropical left,1.33,2.158,1.4690132742763082,-2.240259701259468,
squared euclidean,Anisotropical left,1.354,2.21,1.4866068747318506,-2.318338248277768,
manhattan,Anisotropical left,1.282,2.122,1.4567086187704115,-2.1862053225544904,
chebyshev,Anisotropical left,1.348,2.16,1.469693845669907,-2.243262722298633,
canberra,Anisotropical left,1.478,2.474,1.5728954192825408,-2.714737025447601,
chi-square,Anisotropical left,1.424,2.348,1.5323185047502363,-2.5255466999801808,
euclidean,Anisotropical right,1.941,4.671666666666667,2.1614038647755462,-1.3358333333333334,
squared euclidean,Anisotropical right,1.932,4.652666666666667,2.1570040951900546,-1.3263333333333334,
manhattan,Anisotropical right,1.2286666666666666,2.5113333333333334,1.584718692176417,-0.2556666666666667,
chebyshev,Anisotropical right,1.934,4.6593333333333335,2.1585488952843606,-1.3296666666666668,
canberra,Anisotropical right,1.603,4.003,2.0007498594277098,-1.0015,
chi-square,Anisotropical right,1.618,4.028666666666667,2.007153872194822,-1.0143333333333335,
euclidean,blob Cluster (3),1.332,1.996,1.4127986409959488,-1.9970149970870703,
squared euclidean,blob Cluster (3),1.332,1.996,1.4127986409959488,-1.9970149970870703,
manhattan,blob Cluster (3),1.332,1.996,1.4127986409959488,-1.9970149970870703,
chebyshev,blob Cluster (3),1.332,1.996,1.4127986409959488,-1.9970149970870703,
canberra,blob Cluster (3),1.112,1.776,1.3326664999166145,-1.6666826827788759,
chi-square,blob Cluster (3),1.332,1.996,1.4127986409959488,-1.9970149970870703,
euclidean,blob Cluster (4),1.25,1.75,1.3228756555322954,-0.3999999999999999,
squared euclidean,blob Cluster (4),1.25,1.75,1.3228756555322954,-0.3999999999999999,
manhattan,blob Cluster (4),1.248,1.746,1.3213629327327143,-0.39680000000000004,
chebyshev,blob Cluster (4),1.25,1.75,1.3228756555322954,-0.3999999999999999,
canberra,blob Cluster (4),1.25,1.752,1.3236313686219439,-0.40159999999999996,
chi-square,blob Cluster (4),1.248,1.746,1.3213629327327143,-0.39680000000000004,
euclidean,blob Cluster (5),1.6053333333333333,4.003333333333333,2.0008331597945226,-1.0016666666666665,
squared euclidean,blob Cluster (5),1.6053333333333333,4.003333333333333,2.0008331597945226,-1.0016666666666665,
manhattan,blob Cluster (5),1.5693333333333332,3.9553333333333334,1.9888019844452423,-0.9776666666666667,
chebyshev,blob Cluster (5),1.606,4.008,2.001999000998752,-1.004,
canberra,blob Cluster (5),1.739,3.796333333333333,1.9484181618259806,-0.8981666666666666,
chi-square,blob Cluster (5),1.606,4.006,2.00149943792148,-1.0030000000000001,
euclidean,Varied Cluster (3),0.65,0.65,0.806225774829855,0.025485795331027572,
squared euclidean,Varied Cluster (3),0.65,0.65,0.806225774829855,0.025485795331027572,
manhattan,Varied Cluster (3),0.651,0.651,0.8068457101577724,0.0239865427084599,
chebyshev,Varied Cluster (3),0.651,0.651,0.8068457101577724,0.0239865427084599,
canberra,Varied Cluster (3),0.666,0.666,0.8160882305241266,0.0014977533699450651,
chi-square,Varied Cluster (3),0.661,0.661,0.8130190649671138,0.008994016482783418,
euclidean,No Structure,1.1113333333333333,1.8993333333333333,1.3781630285758406,0.0,
squared euclidean,No Structure,1.1133333333333333,1.9066666666666667,1.3808210118138653,0.0,
manhattan,No Structure,1.094,1.8753333333333333,1.3694281044776806,0.0,
chebyshev,No Structure,0.9186666666666666,1.5266666666666666,1.2355835328567093,0.0,
canberra,No Structure,1.004,1.6773333333333333,1.2951190421476064,0.0,
chi-square,No Structure,1.0333333333333334,1.7946666666666666,1.3396516960264957,0.0,
